"- For order date use {order_date}","- Pour afficher la date de la commande, utiliser {order_date}"
"Please fill the sender field","Veuillez renseigner un expéditeur"
"Please fill the message field","Veuillez remplir le champ message"
"Send a test SM","Envoyer un SMS de test"
"The phone number should be in this form: 0033663309741 for this France mobile 06 63 30 97 41 (0033 is France prefix)","Le numéro de téléphone mobile devrait être sous cette forme: 0033663309741 pour le numéro français 06 63 30 97 41 (0033 est l'indicatif de la France)"
"Sending a test SMS will be deducted from your SMS credits.","L'envoi d'un SMS de test sera décompté de vos crédits SMS. "
"Send a SMS confirmation for the shipment of the order","Envoyer un SMS après l'expédition de commande"
"Sender","Expéditeur"
"Attention line break is counted as a single character.","Attention, un saut de ligne est compté comme un seul caractère. "
"Send a test SMS","Envoyer un SMS de test"
"Sending a test SMS will be deducted from your SMS credits.","L'envoi d'un SMS test sera décompté de vos crédits SMS. "
"Send a campaign SMS","Envoyer une campagne SMS"
"A single contact","Un seul contact"
"All my Magento customers","Tous mes contacts Magento"
"Phone number of the contact","Numéro de téléphone du contact"
"Schedule your sms campaign","Programmez votre campagne SMS"
"Message","Message"
"You have ","Vous avez "
" contacts subscribed and "," contacts inscrits et "
" contacts unsubscribed from Magento."," contacts désinscrits de Magento."
" For less details,"," Pour moins de détails, cliquez"
"Click on the icon to subscribe / unsubscribe the sms from Sendinblue and Magento.","Cliquez sur l'icône pour inscrire / désinscrire un SMS de Sendinblue et Magento."
"Unsubscribe the contact","Désinscrire le contact"
"Subscribe the contact","Inscrire le contact"
"Unsubscribe the sms","Désinscrire le SMS"
"Subscribe the sms","Inscrire le SMS"
"First","Premier"
"Last","Dernier"
"Previous","Précédent"
"Next","Suivant"
"No confirmation","Aucune confirmation"
"Simple confirmation","Confirmation simple"
"Double opt-in confirmation","Double opt-in confirmation"
"About Sendinblue","A propos de Sendinblue"
"Subscribe Manager","Gestion des abonnés"
"Transactional Emails and SMS Management","Gestion des Emails Transactionnels et des SMS"
"Contact List","Listes de contacts"
"Contact Sendinblue Team","Contactez l’équipe Sendinblue"
"For further informations, please visit our website:","Pour plus d’informations, visitez notre site web :"
"Save","Sauvegarder"
"Limit","Limite"
"Send","Envoyer"
"For more details,","Pour plus de détails,"
"click here","Cliquez ici"
"Send a final confirmation email","Envoyer un dernier email de confirmation"
"Send the campaign","Envoyer la campagne"
"Contact us:","Contactez-nous :"
"No","Non"
"Code tracking","Code de tracking"
